transaction_id,merchant_id,order_id,amount_in_paise,payment_method,customer_phone_hash,device_hash,h3_index_res9,pincode,account_age_days,form_fill_duration_ms,canvas_entropy_score,is_bot_keystrokes,device_rto_rate,device_order_count,h3_cluster_rto_rate,h3_density_weight,cluster_size,cluster_rto_rate,burst_count_h3,burst_count_device,is_rto,is_syndicate
txn_0068d80a4ba7,mer_bbb,ord_327291,288300,COD,1cf3fba9aee6876a,dev_1b5960dc51da,h3_Hyd_4507,500034,240,7049,0.77,0,0.0377,4,0.1401,0.8224,0,0.0,0,0,0,0
txn_2d0508a3447b,mer_ddd,ord_653096,584500,COD,5fb3322925ba4980,dev_b0e335f750ed,h3_Hyd_5017,500001,12,1012,0.17,0,0.8504,10,0.2081,1.7824,0,0.0,1,0,1,0
txn_726d2581712f,mer_aaa,ord_138202,1226900,COD,a761cb8edc455c53,dev_b8c3085e1a57,h3_Hyd_1098,500001,315,12126,0.54,0,0.0816,13,0.36,1.0119,0,0.0,0,0,0,0
txn_18d189bdafef,mer_bbb,ord_143971,1131400,COD,219a2e6c85548107,dev_823311df427a,h3_Del_3747,110044,7,507,0.02,0,0.7755,12,0.3179,1.7041,0,0.0,0,1,1,0
txn_84df12028f3b,mer_ddd,ord_495633,476700,UPI,abca9c6ba28f7f51,dev_e392580caafe,h3_Del_5239,110001,54,8328,0.67,0,0.0299,2,0.0212,1.2834,0,0.0,0,0,0,0
txn_b0780de745a6,mer_aaa,ord_587289,454200,COD,4a0ddc684d06295f,dev_5e07d24ed0dd,h3_Ben_5236,560068,9,1235,0.4,0,0.4523,5,0.1458,1.2046,0,0.0,0,0,1,0
txn_69eb7786acb8,mer_bbb,ord_758578,833200,COD,0a322015850124d1,dev_c15af65625ba,h3_Ben_9574,560001,30,9531,0.86,0,0.1558,1,0.3962,1.1127,0,0.0,0,0,0,0
txn_a7648cda5e50,mer_ddd,ord_956761,408400,COD,d8eb1419ad21acd1,dev_d837e6d60d08,h3_Hyd_4009,500001,3,1019,0.21,1,0.7075,22,0.5519,0.8778,0,0.0,0,0,1,0
txn_3f75661887cc,mer_aaa,ord_167094,3842500,UPI,9a2016c2f74f6f26,dev_70a45e7757e3,h3_Mum_1866,400050,33,11108,0.81,0,0.1003,7,0.2639,1.2791,0,0.0,1,0,0,0
txn_dc0085636f2e,mer_ccc,ord_245810,521300,COD,be90397264f23812,dev_8ec2c7680700,h3_Del_9971,110044,224,11350,0.85,0,0.146,5,0.165,1.1496,0,0.0,1,0,0,0
txn_7f4e63bde2a5,mer_bbb,ord_566603,153200,PREPAID,284ac5de7b50fd18,dev_f22e53630eec,h3_Hyd_7476,500001,344,6990,0.88,0,0.0209,19,0.1654,1.437,0,0.0,0,0,1,0
txn_85a24d01c48e,mer_ddd,ord_365662,551000,COD,3711f616723f296a,dev_04156b1d215b,h3_Che_8362,600001,38,2019,0.26,0,0.3852,3,0.3856,1.2742,0,0.0,0,0,1,0
txn_b2e56626a187,mer_aaa,ord_104496,386500,UPI,3df8755ea6d428b6,dev_17fe540e420c,h3_Hyd_5106,500034,119,5157,0.92,0,0.0493,1,0.1562,1.4997,0,0.0,1,0,0,0
